CONTENT,CLASS
"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿",1
YouTube/codytolleson for awesome videos I'll subscribe back ﻿,1
if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel﻿,1
SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) ﻿,1
http://www.twitch.tv/jaroadc come follow and watch my stream!﻿,1
"if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound  Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen)   COMMENT TELL ME WHAT YOU THINK  DONT BE LAZY!!!!  - 1/7 Prophetz﻿",1
....subscribe......  ......to my........  .....channel.......﻿,1
"now its 1,884,034,783 views! pls. comment the view count the next hour :P﻿",0
http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb ﻿,1
go here to check the views :3﻿,0
thumbs up if u checked this video to see hw views it got﻿,0
Plz subscribe to my channel and I will subscribe back xx﻿,1
i check back often to help reach 2x10^9 views and I avoid watching Baby﻿,0
This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.﻿,0
https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Like this  facebook-page! Chance to win an Iphone 5S!﻿,1
get GWAR to play 2015 superbowl  http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ﻿,1
Pls follow this channel!! http://www.twitch.tv/sevadus﻿,1
hi guys check my youtube channel﻿,1
Subscribe and like to me for more how to videos on minecraft!﻿,1
http://tankionline.com#friend=cd92db3f4 great game check it out!﻿,1
Subscribe ME!﻿,1
Im just to check how much views it has﻿,0
The first comment is chuck norrus ovbiously :D﻿,0
Behold the most viewed youtube video in the history of ever﻿,0
when is this gonna hit 2 billion?﻿,0
the most viewed youtube video of all time?﻿,0
"969,210 dislikes like dislike themselves﻿",0
psy=korean﻿,0
"OMG this oldspice spraytan party commercial omg....i'm sitting here ""NO  this isn't a real thing is it? OMG"" ﻿",0
"This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.﻿",0
It's been back for quite a while now.,0
2 Billions in 2014,0
plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!﻿,1
Sub my channel!﻿,1
http://www.ebay.com/itm/131338190916?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,1
http://www.guardalo.org/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/ ﻿,1
"if your like drones, plz subscribe to Kamal Tayara. He takes videos with  his drone that are absolutely beautiful.﻿",1
http://hackfbaccountlive.com/?ref=4604617﻿,1
"WHATS UP EVERYONE!? :-) I Trying To Showcase My Talent To The World! I Have Over 3000 SUBSCRIBERS! I PROMISE! I Dont Suck! Please Spread My Covers Around, SUBSCRIBE &amp; Share! Thanks so much for all your support! Lucas Trigo -Stay Awesome! ﻿",1
-----&gt;&gt;&gt;&gt;  https://www.facebook.com/video.php?v=10200253113705769&amp;set=vb.201470069872822&amp;type=3&amp;permPage=1  &lt;--------﻿,1
"Hi there~I'm group leader of Angel, a rookie Korean pop group. We have four  members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a Korean management company. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time  out of your day to read this !﻿",1
http://woobox.com/33gxrf/brt0u5 FREE CS GO!!!!﻿,1
Admit it you just came here to check the number of viewers ﻿,0
"Just coming to check if people are still viewing this video. And  apparently, they still do.﻿",0
Check my first video out﻿,1
Check my channel﻿,1
PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,0
Suscribe My Channel Please XD lol﻿,1
Wow. Comments section on this still active. Not bad. Also 5277478 comments.  (Now 79)﻿,0
http://binbox.io/1FIRo#123﻿,1
Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU.﻿,0
https://www.indiegogo.com/projects/cleaning-the-pan--2    please halp me  with my project﻿,1
There is one video on my channel about my brother...﻿,1
"Check my channel, please!﻿",1
"Does anyone here use gift cards like Amazon, itunes, psn, google play,  itunes, or any other gift cards? Then you'll be happy to know you can get  free gift card codes for free from an amazing site. Here is a $50 itunes  gift card code XXBB5TCZHM39HVZD﻿",1
Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:﻿,0
Plizz withing my channel ﻿,1
I made a gaming channel (Unique right?) :L Angry Minecraft!﻿,1
Please help me go here http://www.gofundme.com/littlebrother﻿,1
Anybody who subscribes to me will get 10 subscribers﻿,1
http://thepiratebay.se/torrent/6381501/Timothy_Sykes_Collection﻿,1
"My videos are half way decent, check them out if you want.﻿",1
"they said this video are not deserve 2billion views , while they keep  visiting it to watch the viewer . ﻿",0
subscribe to itz recaps and above diddle﻿,1
Screw this Chinese crap i dont even understand what he is saying. Why isn't  he speaking English like everyone should?﻿,0
need money?Enjoy https://www.tsu.co/emerson_zanol﻿,1
Sub to my channel visuelgamingzNL I sub back﻿,1
please subscribe i am a new youtuber and need help please subscribe and i  will subscribe back :D hoppa HOPPA GaNgAm StYlE﻿,1
sub me if you dont like the song﻿,1
This is a weird video.﻿,0
8 million likes xD even the subscribers not 8 million xD﻿,0
EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL? I AM A NEW YOUTUBER AND I PLAY  MINECRAFT THANKS GUYS!... SUBSCRIBE!﻿,1
Hi everyone! Do you like music? Then why not check out my music channel.  The LEXIS band will be uploading their own songs and covers soon so don't  miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one  click. -&gt;﻿,1
This song never gets old love it.﻿,0
gofundme.com/grwmps﻿,1
"Hey guys please check out my new Google+ page it has many funny pictures,  FunnyTortsPics  https://plus.google.com/112720997191206369631/post﻿",1
#2012bitches﻿,0
Made in china....﻿,0
5 milions comentars and 2 bilion views﻿,0
It is 0 zero﻿,0
Mix - PSY - GANGNAM STYLE (강남스타일) M/V: PSY - GANGNAM STYLE (강남스타일) M/V﻿,0
This has had over 2 billion views.  Holy shit.﻿,0
"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",0
Suscribe my channel please﻿,1
"2,124923004 wiews... wow﻿",0
guys please subscribe me to help my channel grow please guys﻿,1
Great music anyway﻿,0
PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,0
"so crazy, over 2 billion views, not US, not Uk, its Korea republic, its  asia﻿",0
Discover a beautiful song of A young Moroccan     http://www.linkbucks.com/AcN2g﻿,1
"Like getting Gift cards..but hate spending the cash.... Try Juno Wallet !!! At Juno Wallet you can earn money for gift cards such as ; Nike, Gamestop,  Amazon , Ebay Etc &amp; its easy  Earn money by doing simple task like watching videos..downloading apps &amp;  you can even earn money by inviting your friends to join...its free for  signup Sign up today &amp; use promo code BD3721315﻿",1
Can somebody wake me up when we get to 3 billion views.﻿,0
PSY GOT LOTS  OF MONEY FROM YOUTUBE THAT HE GOT FROM 2 BILLION VIEWS THIS  IS THE MOST VIEWS IN THE WORLD :D﻿,0
Justin bieber = gay ﻿,0
You gotta say its funny. well not 2 billion worth funny but still. It  clicked and everything went uphill. At least you don't have JB's shit on  #1.﻿,0
❤️ ❤️ ❤️ ❤️ ❤️❤️❤️❤️﻿,0
"Ahhh, 2 years ago....﻿",0
"Dance dance,,,,,Psy  http://www.reverbnation.com/msmarilynmiles﻿",1
"check out ""starlitnightsky"" channel to see epic videos﻿",1
https://www.tsu.co/KodysMan plz ^^﻿,1
Stupid people... this video doesnt have 2 billion visits. Have 2 thousands  millions﻿,0
http://www.gcmforex.com/partners/aw.aspx?Task=JoinT2&amp;AffiliateID=9107﻿,1
check men out i put allot of effort into my music but unfortunatly not many  watch it﻿,1
pls http://www10.vakinha.com.br/VaquinhaE.aspx?e=313327 help me get vip gun  cross fire al﻿,1
Add me here...https://www.facebook.com/TLouXmusic﻿,1
CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERS﻿,1
I think this is now a place to promote channels in the comment section lol.﻿,0
Get free gift cards and pay pal money!﻿,1
Check out pivot animations in my channel﻿,1
Follow me on twitter &amp; IG : __killuminati94﻿,1
Check me out I'm all about gaming ﻿,1
Oppa! Yeah! Best Song!﻿,0
More... http://www.sunfrogshirts.com/Sunglass-World.html?24398﻿,1
https://www.facebook.com/teeLaLaLa﻿,1
http://www.twitch.tv/zxlightsoutxz﻿,1
reminds me of this song https://soundcloud.com/popaegis/wrenn-almond-eyes﻿,1
What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194﻿,1
"Search ""Chubbz Dinero - Ready Or Not "" Thanks ﻿",1
Follow me on Twitter @mscalifornia95﻿,1
😫😓😏😪😔😖😌😭😎😚😘😙😗😋😝😜😛😍😒😞😷😶😵😳😲😱😟😰😩😨😧😦😥😤😣😮😴😢😡😠😬😕😑😐😯😉😈😇😆😅😄😃😂😁😀😊☺  every single types of face on earth﻿,0
▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ ＤＡＭＮ ＴＨＩＳ ＣＯＭＭＥＮＴ ＩＳ ＦＡＮＣY ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬﻿,0
CHECK MY CHANNEL FOR MY NEW SONG 'STATIC'!! YOU'LL LOVE IT!!﻿,1
Incmedia.org where the truth meets you.﻿,1
look at my channel i make minecraft pe lets play ﻿,1
I found out this song now﻿,0
2 BILLION!!!﻿,0
Song name??﻿,0
please like : http://www.bubblews.com/news/9277547-peace-and-brotherhood﻿,1
hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a like﻿,1
http://www.amazon.co.uk/gp/offer-listing/B00ECVF93G/sr=8-2/qid=1415297812/ref=olp_tab_refurbished?ie=UTF8&amp;condition=refurbished&amp;qid=1415297812&amp;sr=8-2 ﻿,1
"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",0
Subscribe to me and I'll subscribe back!!!﻿,1
http://flipagram.com/f/LUkA1QMrhF﻿,1
For Christmas Song visit my channel! ;)﻿,1
http://www.gofundme.com/gvr7xg﻿,1
Subscribe to me i subscribe back!!!! Plus i have a nice ass lol﻿,1
https://www.change.org/p/facebook-twitter-youtube-do-not-censor-julien-blanc ﻿,1
https://soundcloud.com/jackal-and-james/wrap-up-the-night﻿,1
https://www.surveymonkey.com/s/CVHMKLT﻿,1
Please give us a chance and check out the new music video on our channel!  You won't be disappointed.﻿,1
Please subscribe to me﻿,1
"This is the best, funny and viral video of history (youtube) THE TRUE﻿",0
Please check out my vidios﻿,1
OPPA GANGNAM STYLE!!!﻿,0
"The funny thing is, 1,700,000,000 of the views are spam bots. I mean c'mon  2 BILLION views? BS!﻿",0
OPPA &lt;3﻿,0
It's so funny it's awesomeness lol aaaaaaa sexy lada😂﻿,0
most viewed video in the world﻿,0
I'm here to check the views.. holy shit﻿,0
"Dear person reading this, You are beautiful and loving Have a great day﻿",0
http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN﻿,1
Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFE﻿,1
The Guy in the yellow suit kinda looks like Jae-suk ﻿,0
"People, here is a new network like FB...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)﻿",1
How are there 2 billion views and theres only 2 million people in the  world!?!?!?!! MULTIPLE ACCOUNTS!!!1111﻿,0
WAT DA FUCK THIS THE MOST VIEWED VIDEO IN YOUTUBE!﻿,0
OMG 2/7 People watched this video because there are 7 billion people in the  world and 2 billion watched this﻿,0
What is he saying?!?!?!?!?!?!?!?$? ﻿,0
this has so many views﻿,0
OMG over 2 billion views!﻿,0
Subscribe to me plz plz plz plz plz plZ ﻿,1
http://www.twitch.tv/tareko100 Follow him on twitch and enter the keyword  !5800 and you'll have a chance of winning a really nice and expensive gun  for csgo that you can sell on the steam market﻿,1
"i am 2,126,492,636 viewer :D﻿",0
https://www.tsu.co/Aseris get money here !﻿,1
Fantastic!﻿,0
The population of world is more than 7 billion﻿,0
2.126.521.750  views!!!!!!!!!!!!!!!!!﻿,0
Wow 23 min ago﻿,0
SUPER!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,0
P E A C E  &amp;  L O V E  ! !﻿,0
How can this music video get 2 billion views while im the only one watching  here on earth?????? lol﻿,0
Please friend read my book and repass: http://www.4shared.com/web/preview/pdf/CjFofTxeba?﻿,1
subscribe to me :) ﻿,1
Still the best. :D﻿,0
The most liked video on YouTube...﻿,0
Still watching this 2 years later? ﻿,0
"Hello! I'm kind of new to Youtube, And soon i'm soon going to be making  Launchpad Video's! :D I would really appreciate if i got some subs before i  started so that people can spot me easily! I dont really care about hate  comments so dont bother -_-﻿",1
"Lol...I dunno how this joke gets a lot of likes, but whatever. xD﻿",0
2 Billion Views For This Piece Of Shit... ~ A R E ~ Y O U ~ K I D D I N G ~ M E ~﻿,0
GANGMAN STY- *D-D-D-D-D-D--DROP THE BASS!!*﻿,0
Will this song ever reach 7 Billion Views?﻿,0
"Im a RAPPER/SONGWRITER, check my video PLEASE..also subscribe for more  thanks :) tell me what you think.﻿",1
"Hello all 29.24% earth population of the world, hope your having a great  day :)﻿",0
"Is this the video that started the whole ""got my dick stuck in an elevator""  excuse thing? ﻿",0
Can anyone sub to my channel? :D﻿,1
prehistoric song..has been﻿,0
You think you're smart?        Headbutt your face.﻿,0
DISLIKE.. Now one knows REAL music - ex. Enimen ﻿,0
Loool nice song funny how no one understands (me) and we love it﻿,0
Like if you came here too see how many views this song has.﻿,0
We pray for you Little Psy ♡﻿,0
"''Little Psy, only 5 months left.. Tumor in the head :( WE WILL MISS U &lt;3﻿",0
 Follow me on Instagram. _chris_cz  ﻿,1
how is this shit still relevant ﻿,0
LOL this shit never gets old﻿,0
What Can i say....This Song He Just Change The World Completely... So good job PSY... (and your girls are awesome :))) )﻿,0
On 0:02 u can see the camera man on his glasses....﻿,0
this comment is wrong﻿,0
i hate this music. fucking singer and every koean chainise ana US sucks me dick.﻿,0
2:05. Hahahahah ﻿,0
Can we reach 3 billion views by December 2014? ﻿,0
"Dumb Guy: Why is there 2 billion views when there are 7 million people on  earth??? Also, I know what 1+1 equals! 1+1=1! I am a smartie pants﻿",0
"People Who Say That ""This Song Is Too Old Now, There's No Point Of  Listening To It"" Suck. Just Stfu And Enjoy The Music. So, Your Mom Is Old  Too But You Still Listen To Her Right?....﻿",0
The Funny Thing Is That this song was made in 2009 but it took 2 years to  get to america.﻿,0
why I dont see any comments but mine?:/﻿,0
this jap is such a piece of shit. he is such a worthless fish head. i dont  know how any one likes this dumb untanlted gook. this isnt even fucken  music. this is so fucking sad that this is even such thing. people are so  fucked up.﻿,0
I remember when everyone was obsessed with Gangnam Style 😗﻿,0
Remove This video its wank﻿,0
"It's so hard, sad :( iThat little child Actor HWANG MINOO dancing very  active child is suffering from brain tumor, only 6 month left for him .Hard  to believe .. Keep praying everyone for our future superstar.  #StrongLittlePsY #Fighting  SHARE EVERYONE PRAYING FOR HIM http://ygunited.com/2014/11/08/little-psy-from-the-has-brain-tumor-6-months-left-to-live/ ﻿",1
"Why the fuck this keeps updated? Comments :""5 minutes ago"" Song: ""2 years and  4 months ago""﻿",0
MANY MEMORIES...........﻿,0
why are they 5million comments when there is only 279.898 youtube Users.   5million fake account or PSY hacked youtube﻿,0
"2,000,000,000 out of 7,000,000,000 people in the would saw this video just  in 2 years and yeat i only get 2 words out of the hole song﻿",0
"This video is so cool, again and again!﻿",0
I am now going to voyage to the first comment...      Tell my family I loved them. 😢﻿,0
"How did THIS Video in all of YouTube get this many views and likes? Why  Gangnam style? I don't have a problem with it, i just don't understand the  phenomena behind it, it's just like any other random music video out  there. ﻿",0
With the korean girl more slut and bitch : Hyuna :'33﻿,0
Hey guys! Check this out: Kollektivet - Don't be slappin' my penis!  I  think that they deserve much more credit than they receive.﻿,1
Still a very fun music video to watch! ﻿,0
C'mon 3 billion views!!!!!!!!﻿,0
"Hey everyone, I am a new channel and will post videos of book reviews and  music on the flute. Please subscribe if you would enjoy that. Thanks!﻿",1
"Hey I think I know what where dealing with here!!!! I have some theories of  how this could've gotten 2billion hits!! 1. This was mabey made in korea and its realy popular there so they were  stuck watching this over and over again. 2. Over 2billion people have access to the Internet, including youtube, and  the numbers are rising, by 2017 half of the populatoin will be connected. 3. Hackers In Korea may have loved it so much they rised it to 2billion  hits to make it more popular.  4. The song was featured in a just dance game, on multiple mp3s, and been  seen on concerts and even on new years eve event in 2012, so just by seeing  those you mabey adding more hits to this video. 5. You are complaining to much on how the heck this has 2b hits.﻿",0
subscribe my chanel﻿,1
"THIS HAS MORE VIEWS THAN QUEEN AND MICHAEL JACKSON, 2 BILLION views omg﻿",0
LoL﻿,0
If you pause at 1:39 at the last millisecond you can see that that chick is  about to laugh. Takes a few tries.﻿,0
"9 year olds be like, 'How does this have 2 billion views when there are  only 3 people in the world'﻿",0
PSY is a good guy﻿,0
WHY DOES THIS HAVE 2 BILLION VIEWS THIS SONG IS SO ANNOYING﻿,0
https://www.facebook.com/pages/Mathster-WP/1495323920744243?ref=hl﻿,1
1 millioon dislikesssssssssssssssssssssssssssssssss.............﻿,0
The little PSY is suffering Brain Tumor and only has 6 more months to live.  Please pray to him and the best lucks.﻿,0
For all of the little kidz out there there is Like 7 to 8 Billon people on  earth NOT 7 to 8 MILLON.Get you facts straight before posting comments.﻿,0
How stupid humanity is﻿,0
Come and watch my video it is called the odowd crowd zombie movie part 1 ﻿,1
You know a song sucks dick when you need to use google translate to know  what the fuck its saying!﻿,0
"We get it, you came here for the views... ﻿",0
Wow this video is the most viewed youtube video.. second that comes Justin  bieber- baby SMH WHAT HAS THE WORLD COME TO﻿,0
"Hey, join me on tsū, a publishing platform where I share my content now:  http://tsu.co/MarkusMairhofer﻿",1
"This song is great there are 2,127,315,950 views wow﻿",0
I'm watching this in 2014﻿,0
Most viewed video on youtube...daaaaaaaaaaannng those views can almost  dominate the entire...china...﻿,0
"how does this video have 2,127,322,484 views if there are only 7 million  people on earth?﻿",0
What my gangnam style﻿,0
Lol this youtuber (officialpsy) is getting so much money lol﻿,0
1 million dislikes!EPIC FAIL(ready for you fanboys)﻿,0
"If I knew Korean, this would be even funnier. At least a bit at the end was  in English, but was spoken quite rapidly.﻿",0
"Enough with the whole ""how does this have two billion views if there's only  7 million on the planet"" we get it. You're joking. It's not funny anymore.﻿",0
"If I get 100 subscribers, I will summon Freddy Mercury's ghost to whipe  from the face of earth One Direction and Miley Cirus.﻿",1
if i reach 100 subscribers i will go round in public pouring a bucket of  ice water over people and then running away acting like it wasn't me! like  so people can see!!﻿,1
YOUTUBE MONEY !!!!!!!!!!!!!!!!!!!!!!!﻿,0
2 billion for this shit?﻿,0
"2 billion views, only 2 million shares﻿",0
Hi guys my name is Dylan and I do IRL football videos I have 1030  subscribers and I think you guys would like my content so come check it out  and if you do subscribe!﻿,1
If I get 300 subscribers by tomorrow I'll do a epic Hunger Games Video! ﻿,1
follower please https://www.facebook.com/lists/161620527267482﻿,1
2 billion views wow not even baby by justin beibs has that much he doesn't  deserve a capitalized name﻿,0
If i reach 100 subscribers i will tazz my self and my friend﻿,1
Please help me go to college guys! Thanks from the bottom of my heart.  https://www.indiegogo.com/projects/i-want-to-go-to-college--19/x/9082175﻿,1
https://www.facebook.com/SchoolGeniusNITS/photos/ms.c.eJw9kVkOxDAMQm808h5z~;4sNjqP~_tHqBEuM69AQUp1Ih~_fPHgk5zLLsVdQv0ZUf0MB~;LnUJ~;ufTH4YoKfRxYts2zvrrp6qGtw67y~;L551h~;f7~_vlcZzRG8vGCTlPSD9ONGeWhj8~_GIbu~;S3lzMvY~;IQ2~;TwSfzz9WHn7JUSvHufpglQRZczl05fNPhaGeVb3x8yDmC6X~_~;jTcjnMho~;vfXWCjZyvWObihrnGx2ocjnG2PG1EvHXzyjD~_o3h~_RY6f57sPrnD2xV~;~_BzszZ~;8~-.bps.a.390875584405933/391725794320912/?type=1&amp;theater ﻿,1
I am so awesome and smart!!! Sucscribe to me!﻿,1
Follow 4 Follow                           @ VaahidMustafic Like 4 Like ﻿,1
http://hackfbaccountlive.com/?ref=4436607  psy news offıcal ﻿,1
https://www.facebook.com/nicushorbboy add mee &lt;3 &lt;3﻿,1
im sorry for the spam but My name is Jenny. I go to high school where  everyone dresses fashionable but for me I don't because i need money to buy  cute clothes. I have low self esteem . I live with my dad. my mom passed  away when i was 6 so i don't really have a mother figure. I have 2 brothers  who is older than me. Since they are boys they get the attention while i  just be alone. I really want to wear pretty clothes like the girls in my  school and get a boyfriend. i just can't be my self. im very quite and shy  at school because i don't have the confidence in myself to talk to someone.  i did have one friend name Caroline but she moved away so now im alone. if  you could donate some money to me it would be great. i don't care about  expensive brand ill just shop at walmart because they have pretty clothes.  also i wanna get my nails done at a salon . i see alot of girls have these  french tips. i never had my nail did at a salon before i will really  appreciate if i can and get my hair curled too. http://www.gofundme.com/dressprettyonce thanks omg please.﻿,1
 I hate this song! ﻿,0
please throw a sub on my channel﻿,1
"NEW GOAL!   3,000,000!  Let's go for it!﻿",0
Go to my channel if u want to see a fly getting burned alive﻿,1
just came here to check the views :P﻿,0
"COME AND CHECK OUT MY NEW YOUTUBE CHHANEL, GOING TO BE POSTING DAILY!﻿",1
I hav absolutely no idea what he's saying. Is it even a language?﻿,0
Please check out my vidios guys﻿,1
I still to this day wonder why this video is so popular ?? illuminati  confirmed ??﻿,0
Hey guys can you check my channel out plz. I do mine craft videos. Let's  shoot for 20 subs﻿,1
This is getting old.........﻿,0
PLEASE SUBSCRIBE ME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,1
just came to check the view count﻿,0
Check out my Music Videos! Fuego - U LA LA Remix  hyperurl.co/k6a5xt﻿,1
Check out my Music Videos! and PLEASE SUBSCRIBE!!!! Fuego - U LA LA Remix  hyperurl.co/k6a5xt﻿,1
www.marketglory.com/strategygame/lordviperas﻿,1
"If the shitty Chinese Government didn't block YouTube over there, there'd  be close to 3 billion views right now. ﻿",0
WORLD RECORD YOUTUBE VIDEO VIEWS !!!!!! XD﻿,0
I think he was drunk during this :) x)﻿,0
Limit sun exposure while driving. Eliminate the hassle of having to swing  the car visor between the windshield and window.  https://www.kickstarter.com/projects/733634264/visortwin﻿,1
"Hahah, juyk! I allways laugh at the part 1:57.. LOL!﻿",0
http://hackfbaccountlive.com/?ref=5242575﻿,1
"I wanted to know the name of the guy that dances at 00:58, anybody knows ?﻿",0
https://www.facebook.com/FUDAIRYQUEEN?pnref=story﻿,1
"Haha its so funny to see the salt of westerners that top views of youtube  goes to video they dont even understand, keep the salt up!﻿",0
FOLLOW MY COMPANY ON TWITTER  thanks.  https://twitter.com/TheWaxedHatCo﻿,1
imagine if this guy put adsense on with all these views... u could pay ur  morgage﻿,0
Hey come check us out were new on youtube let us know what you think and  don't forget to subscribe thanks.﻿,1
"The girl in the train who was dancing, her outfit was so fucking sexy, but  the huge turn-off was she lacked eyebrows D:﻿",0
